Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DNI,DHI,Relative Humidity,Wind Speed
2023,1,12,9,30,2.4000000000000004,0,0,0,95.62,2.5
2023,1,12,10,30,2.8000000000000003,0,0,0,96,2.6
2023,1,12,11,30,3.2,0,0,0,96.23,2.6
2023,1,12,12,30,4.1000000000000005,3,0,3,93.7,2.5
2023,1,12,13,30,5.4,17,0,17,91.47,2.4000000000000004
2023,1,12,14,30,6.4,56,0,56,91.67,2.4000000000000004
2023,1,12,15,30,7.2,42,0,42,92.38,2.4000000000000004
2023,1,12,16,30,7.7,48,0,48,93.46000000000001,2.4000000000000004
2023,1,12,17,30,8.200000000000001,69,1,69,93.60000000000001,2.4000000000000004
2023,1,12,18,30,8.5,84,3,83,94.36,2.6
2023,1,12,19,30,8.5,35,0,35,95.53,3
2023,1,12,20,30,8.5,28,1,28,95.76,3.4000000000000004
2023,1,12,21,30,8.6,5,0,5,95.65,3.7
2023,1,12,22,30,9,0,0,0,95.95,3.9000000000000004
2023,1,12,23,30,9.3,0,0,0,96.97,4
2023,1,13,0,30,9.5,0,0,0,98.21000000000001,3.9000000000000004
2023,1,13,1,30,9.5,0,0,0,98.41,3.9000000000000004
2023,1,13,2,30,9.5,0,0,0,97.77,4
2023,1,13,3,30,9.700000000000001,0,0,0,96.3,4.2
2023,1,13,4,30,10,0,0,0,95.89,4.4
2023,1,13,5,30,10.3,0,0,0,96.85000000000001,4.4
2023,1,13,6,30,10.600000000000001,0,0,0,96.93,4.800000000000001
2023,1,13,7,30,10.8,0,0,0,97.24000000000001,5.1000000000000005
2023,1,13,8,30,10.9,0,0,0,97.19,5.1000000000000005
2023,1,13,9,30,10.9,0,0,0,97.53,5
2023,1,13,10,30,10.8,0,0,0,97.97,4.6000000000000005
2023,1,13,11,30,10.600000000000001,0,0,0,98.2,4.3
2023,1,13,12,30,10.600000000000001,3,0,3,97.12,4.1000000000000005
2023,1,13,13,30,10.700000000000001,22,1,22,95.59,3.7
2023,1,13,14,30,11.3,97,20,91,92.4,3.3000000000000003
2023,1,13,15,30,11.8,85,2,84,88.5,3.4000000000000004
2023,1,13,16,30,11.8,115,12,109,83.95,3.3000000000000003
2023,1,13,17,30,10.8,265,114,212,83.7,3
2023,1,13,18,30,9.4,107,9,103,84.42,2.8000000000000003
2023,1,13,19,30,7.9,63,3,62,85.23,3.2
2023,1,13,20,30,6.4,64,10,62,84.9,3.9000000000000004
2023,1,13,21,30,5,13,0,13,83.14,4.1000000000000005
2023,1,13,22,30,4,0,0,0,81.64,4.2
2023,1,13,23,30,3.2,0,0,0,81.79,4.5
2023,1,14,0,30,2.5,0,0,0,82.18,4.7
2023,1,14,1,30,1.9000000000000001,0,0,0,81.98,4.7
2023,1,14,2,30,1.5,0,0,0,81.36,4.800000000000001
2023,1,14,3,30,1.2000000000000002,0,0,0,81.41,4.9
2023,1,14,4,30,1,0,0,0,81.48,5
2023,1,14,5,30,0.9,0,0,0,80.97,5.1000000000000005
